#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	name2
uc001aas.1	chr1	+	314322	314353	314322	314322	1	314322,	314353,	DQ574670
uc001aat.1	chr1	+	314353	314385	314353	314353	1	314353,	314385,	DQ596298
uc001aau.1	chr1	+	314432	314501	314432	314432	1	314432,	314501,	DQ599768
uc009vjk.1	chr1	+	314900	316274	314900	314900	1	314900,	316274,	DQ575955
uc001aav.2	chr1	+	317408	318316	317608	318076	1	317408,	318316,	DQ574721
uc001aaw.1	chr1	+	357521	358460	357521	358460	1	357521,	358460,	OR4F16
uc001aax.1	chr1	+	410068	411702	410068	410068	3	410068,410854,411258,	410159,411121,411702,	BC036251
uc001aay.1	chr1	-	552622	554252	552622	552622	3	552622,553203,554161,	553066,553466,554252,	BC036251
uc009vjl.1	chr1	+	554901	555924	554901	554901	1	554901,	555924,	AK026901
uc001aaz.1	chr1	+	556324	557910	556324	556324	1	556324,	557910,	BC018860
uc001aba.1	chr1	+	558011	558705	558011	558011	1	558011,	558705,	X64709
uc001abb.1	chr1	+	558706	558776	558706	558706	1	558706,	558776,	M37726
uc001abc.1	chr1	+	559395	560212	559395	559395	1	559395,	560212,	CR615613
uc001abd.1	chr1	-	610958	611897	610958	611897	1	610958,	611897,	OR4F16
uc009vjm.1	chr1	-	651145	652037	651369	651837	1	651145,	652037,	DQ587965
uc001abe.2	chr1	-	653074	654579	653880	654321	1	653074,	654579,	DQ595736
uc001abg.1	chr1	-	654855	654916	654855	654855	1	654855,	654916,	DQ600587
uc001abh.1	chr1	-	654963	654995	654963	654963	1	654963,	654995,	DQ599872
uc001abi.1	chr1	-	658264	658342	658264	658264	1	658264,	658342,	DQ575786
uc001abj.1	chr1	-	658372	658404	658372	658372	1	658372,	658404,	DQ599874
uc001abk.1	chr1	-	658404	658435	658404	658404	1	658404,	658435,	DQ574670
uc001abl.1	chr1	-	661778	661810	661778	661778	1	661778,	661810,	DQ599872
uc001abm.2	chr1	-	664102	669599	664102	664102	5	664102,665045,665371,668528,669437,	664267,665278,665429,668593,669599,	AK310751
uc001abo.1	chr1	-	690107	703869	690107	690107	7	690107,691571,693790,694739,698218,699413,703526,	690490,691630,693856,694955,698350,699523,703869,	BC006361
uc009vjn.1	chr1	+	752926	778765	752926	752926	4	752926,754245,777169,778633,	753018,754347,777353,778765,	LOC643837
uc001abp.1	chr1	+	752926	778860	752926	752926	6	752926,754245,772896,777169,777913,778633,	753018,754347,773049,777353,778009,778860,	LOC643837
uc001abq.1	chr1	+	752926	778860	752926	752926	5	752926,754245,777169,777913,778633,	753018,754347,777353,778009,778860,	LOC643837
uc009vjo.1	chr1	+	752926	778860	752926	752926	4	752926,754245,777913,778633,	753018,754347,778009,778860,	LOC643837
uc001abr.1	chr1	+	752926	779603	752926	752926	7	752926,754245,772896,777169,777913,778633,778819,	753018,754347,773049,777353,778009,778765,779603,	LOC643837
uc001abs.1	chr1	+	781760	784444	781760	781760	1	781760,	784444,	AK091100
uc001abt.2	chr1	-	793319	802146	793319	793319	3	793319,799354,801988,	793918,800398,802146,	BC047940
uc001abu.1	chr1	+	836677	840191	836677	836677	2	836677,837187,	836716,840191,	AK056486
uc001abv.1	chr1	+	850392	861139	851184	861138	5	850392,851164,855397,856281,861014,	850432,851256,855579,856332,861139,	SAMD11
uc001abw.1	chr1	+	850983	869824	851184	869396	14	850983,851164,855397,856281,861014,864282,864517,866386,867378,867652,867801,868495,868940,869150,	851043,851256,855579,856332,861139,864372,864703,866549,867494,867731,868301,868620,869051,869824,	SAMD11
uc001abx.1	chr1	+	861014	869824	861072	869396	10	861014,864282,864517,866386,867378,867652,867801,868495,868940,869150,	861139,864372,864655,866549,867494,867731,868301,868620,869051,869824,	SAMD11
uc009vjp.1	chr1	-	869445	872303	869936	871833	5	869445,870284,870760,871415,871644,	870043,870389,870896,871529,872303,	DKFZp564C186
uc001aby.2	chr1	-	869445	883781	869936	879414	17	869445,870284,870760,871415,871644,873373,873732,876369,877242,877654,878417,879024,879246,881165,881337,882136,882341,	870043,870389,870896,871529,871788,873475,873846,876481,877382,877843,878531,879135,879766,881256,881458,882268,883781,	NOC2L
uc001abz.2	chr1	-	869445	884542	869936	884483	19	869445,870299,870760,871415,871644,873373,873732,876369,877242,877654,878417,879024,879246,881165,881337,882136,882341,884171,884457,	870043,870389,870896,871529,871788,873475,873846,876481,877382,877843,878531,879135,879325,881256,881458,882268,882516,884324,884542,	NOC2L
uc009vjq.1	chr1	-	869445	884542	869936	884483	19	869445,870284,870760,871415,871644,873373,873732,876369,877242,877654,878417,879024,879246,881165,881337,882136,882341,884171,884457,	870043,870389,870896,871529,871788,873475,873846,876481,877382,877843,878531,879135,879325,881256,881458,882268,882516,884324,884542,	NOC2L
uc009vjr.1	chr1	-	883513	884542	883873	884483	2	883513,884457,	884324,884542,	NOC2L
uc001aca.1	chr1	+	885829	890958	885936	890434	12	885829,886535,886871,887068,887597,887946,888351,888579,889162,889349,889591,890205,	886043,886795,886993,887290,887714,888160,888496,888747,889251,889423,889773,890958,	KLHL17
uc001acb.1	chr1	+	886691	887721	886876	887515	2	886691,887068,	886993,887721,	KLHL17
uc001acc.1	chr1	+	887323	890958	887323	887323	8	887323,887946,888351,888579,889162,889349,889591,890205,	887714,888160,888496,888747,889251,889410,889773,890958,	KLHL17
uc001acd.1	chr1	+	891739	900347	891774	899818	16	891739,891946,895519,895763,895928,896121,896355,896566,897317,897530,898103,898428,898742,899075,899558,899684,	891857,892046,895666,895844,896001,896249,896451,896647,897393,897667,898253,898569,898883,899294,899607,900347,	PLEKHN1
uc001ace.1	chr1	+	891739	900347	891774	899818	15	891739,891946,895519,895763,895928,896319,896566,897317,897530,898103,898428,898742,899075,899558,899684,	891857,892046,895666,895844,896249,896451,896647,897393,897667,898253,898569,898883,899294,899607,900347,	PLEKHN1
uc001acf.1	chr1	+	891739	900347	891774	899818	15	891739,891946,895519,895763,895928,896121,896319,896566,897317,897530,898103,898742,899075,899558,899684,	891857,892046,895666,895844,896001,896249,896451,896647,897393,897667,898253,898883,899294,899607,900347,	PLEKHN1
uc001acg.1	chr1	-	900446	901884	900446	900446	2	900446,901741,	901512,901884,	C1orf170
uc001ach.1	chr1	-	900446	907336	901414	906409	5	900446,901741,904123,906379,907307,	901512,901867,905900,906416,907336,	C1orf170
uc001aci.1	chr1	-	924206	925333	924301	925216	4	924206,924768,924934,925108,	924675,924856,925030,925333,	HES4
uc001acj.2	chr1	+	938709	939782	938816	939721	2	938709,939226,	938819,939782,	ISG15
uc001ack.1	chr1	+	945365	981355	945415	980224	36	945365,947443,960519,965907,966415,966720,967198,968481,968780,969065,969351,969576,970403,970601,970975,971206,971402,971639,972062,972569,972815,973018,973254,974109,974478,974808,975145,975475,975669,975968,976495,976695,976970,978995,979690,980066,	945616,947705,960567,966123,966640,966945,967405,968700,968975,969266,969500,969682,970520,970766,971119,971331,971508,971978,972200,972697,972930,973138,973608,974302,974694,975038,975280,975572,975834,976080,976612,976888,977058,979220,979794,981355,	AGRN
uc009vjs.1	chr1	+	984945	987299	984945	984945	5	984945,985519,985781,986262,987091,	985025,985636,985951,986360,987299,	AK310350
uc001acl.1	chr1	+	984979	991696	984979	984979	4	984979,985522,988321,991072,	985089,985636,988444,991696,	BC033949
uc009vjt.1	chr1	-	1007060	1012447	1008135	1012421	5	1007060,1009157,1009723,1011120,1012381,	1008230,1009626,1009749,1011255,1012447,	C1orf159
uc001acm.2	chr1	-	1007060	1017346	1008135	1016786	7	1007060,1011120,1012381,1012744,1015595,1016714,1017233,	1008230,1011255,1012447,1012840,1015671,1016808,1017346,	C1orf159
uc009vju.1	chr1	-	1007060	1017346	1008135	1016786	8	1007060,1009595,1009723,1011120,1012744,1015595,1016714,1017233,	1008230,1009626,1009749,1011255,1012840,1015671,1016808,1017346,	UNQ2998
uc001acn.2	chr1	-	1007060	1017417	1008135	1016786	8	1007060,1009157,1009723,1011120,1012381,1012744,1015595,1016714,	1008230,1009626,1009749,1011255,1012447,1012840,1015671,1017417,	C1orf159
uc001acp.2	chr1	-	1007060	1031370	1008135	1016786	10	1007060,1009595,1009723,1011120,1012381,1012744,1015595,1016714,1017233,1031198,	1008230,1009626,1009749,1011255,1012447,1012840,1015671,1016808,1017346,1031370,	C1orf159
uc001acu.2	chr1	-	1007060	1041599	1008135	1016786	10	1007060,1009595,1009723,1011120,1012381,1012744,1015595,1016714,1017233,1041302,	1008230,1009626,1009749,1011255,1012447,1012840,1015671,1016808,1017346,1041599,	C1orf159
uc001act.2	chr1	-	1007060	1041599	1008135	1016786	12	1007060,1009157,1009723,1011120,1012381,1012744,1015595,1016118,1016714,1017233,1040264,1041302,	1008230,1009626,1009749,1011255,1012447,1012840,1015671,1016226,1016808,1017346,1040318,1041599,	C1orf159
uc001acr.2	chr1	-	1007060	1041599	1007060	1007060	12	1007060,1009157,1009595,1009723,1011120,1012381,1012744,1015595,1016520,1016714,1017233,1041302,	1008230,1009329,1009626,1009749,1011255,1012447,1012840,1015671,1016617,1016808,1017346,1041599,	UNQ2998
uc001acs.2	chr1	-	1007060	1041599	1007060	1007060	11	1007060,1009157,1009595,1009723,1011120,1012381,1012744,1015595,1016714,1017233,1041302,	1008230,1009329,1009626,1009749,1011255,1012447,1012840,1015671,1016808,1017346,1041599,	UNQ2998
uc001acv.2	chr1	+	1062259	1069295	1067985	1068399	3	1062259,1066067,1067981,	1062353,1066275,1069295,	BC028014
uc001acw.1	chr1	+	1092399	1092423	1092399	1092399	1	1092399,	1092423,	CS444397
uc001acx.1	chr1	-	1098298	1104798	1100872	1104701	2	1098298,1104607,	1101639,1104798,	AK128833
uc001acy.1	chr1	+	1099145	1123176	1104458	1123090	16	1099145,1099527,1099666,1104431,1104899,1105276,1105725,1105973,1106983,1107603,1108118,1109162,1110211,1121842,1122335,1122680,	1099169,1099564,1099732,1104576,1104980,1105583,1105844,1106103,1107058,1107689,1108290,1109334,1110352,1121959,1122429,1123176,	TTLL10
uc001acz.1	chr1	+	1104939	1111104	1105296	1110385	9	1104939,1105276,1105725,1105973,1106983,1107603,1108118,1109162,1110211,	1105096,1105583,1105844,1106103,1107058,1107689,1108290,1109334,1111104,	TTLL10
uc001ada.1	chr1	-	1128750	1130923	1129086	1130706	4	1128750,1129276,1129641,1130612,	1129211,1129479,1129729,1130923,	TNFRSF18
uc001adb.1	chr1	-	1128750	1131952	1129086	1131814	5	1128750,1129297,1129641,1130612,1131627,	1129211,1129479,1129729,1130735,1131952,	TNFRSF18
uc001adc.1	chr1	-	1128750	1131952	1129086	1131814	5	1128750,1129276,1129641,1130612,1131627,	1129211,1129479,1129729,1130735,1131952,	TNFRSF18
uc001add.1	chr1	-	1128750	1131952	1128833	1131814	4	1128750,1129641,1130612,1131627,	1129203,1129729,1130735,1131952,	TNFRSF18
uc001ade.1	chr1	-	1136568	1139375	1136797	1139370	7	1136568,1136946,1137184,1137880,1138234,1138905,1139225,	1136868,1137075,1137381,1137947,1138336,1139028,1139375,	TNFRSF4
uc001adf.2	chr1	-	1136583	1139375	1136797	1138616	5	1136583,1137184,1137880,1138234,1139225,	1137075,1137381,1137947,1139028,1139375,	TNFRSF4
uc001adg.1	chr1	-	1142150	1146594	1142150	1142150	3	1142150,1143700,1144011,	1142931,1143876,1146594,	SDF4
uc001adh.2	chr1	-	1142150	1157310	1142754	1154036	7	1142150,1143700,1144011,1148486,1149074,1153710,1157134,	1142931,1143876,1144170,1148600,1149211,1154189,1157310,	SDF4
uc001adi.2	chr1	-	1142150	1157310	1142912	1154036	7	1142150,1143700,1144011,1148486,1149074,1153710,1157134,	1143047,1143876,1144170,1148600,1149211,1154189,1157310,	SDF4
uc009vjv.1	chr1	-	1142150	1157310	1142754	1149171	6	1142150,1143700,1144011,1148486,1149074,1157134,	1142931,1143876,1144170,1148600,1149211,1157310,	SDF4
uc009vjw.1	chr1	-	1142150	1157310	1142150	1142150	7	1142150,1143700,1144011,1148486,1149074,1153710,1157134,	1143047,1143876,1144186,1148600,1149211,1154189,1157310,	SDF4
uc001adj.1	chr1	-	1147966	1149211	1148412	1149171	2	1147966,1149074,	1148600,1149211,	SDF4
uc001adk.1	chr1	+	1157491	1160283	1157521	1158511	1	1157491,	1160283,	B3GALT6
uc001adl.1	chr1	-	1167695	1171965	1167790	1171933	8	1167695,1168077,1168304,1168686,1169196,1169433,1169623,1171756,	1167889,1168156,1168395,1168795,1169348,1169518,1169740,1171965,	FAM132A
uc001adm.1	chr1	-	1179154	1193235	1180445	1191366	7	1179154,1181287,1182234,1182450,1188588,1191340,1193104,	1180730,1181368,1182373,1182553,1188629,1191533,1193235,	UBE2J2
uc001adn.1	chr1	-	1179154	1199051	1180445	1193235	7	1179154,1181287,1182234,1182450,1188588,1193104,1198741,	1180730,1181368,1182373,1182553,1188629,1193235,1199051,	UBE2J2
uc001ado.1	chr1	-	1179154	1199097	1180445	1193235	8	1179154,1181287,1182234,1182450,1188588,1190025,1193104,1198908,	1180730,1181368,1182373,1182553,1188629,1190073,1193235,1199097,	UBE2J2
uc001adp.1	chr1	-	1179154	1199097	1180445	1193235	7	1179154,1181287,1182234,1182450,1188588,1193104,1198908,	1180730,1181368,1182373,1182553,1188629,1193235,1199097,	UBE2J2
uc001adq.1	chr1	-	1179154	1199097	1180445	1188604	7	1179154,1181287,1182234,1182450,1188588,1192975,1198908,	1180730,1181368,1182373,1182553,1188629,1193235,1199097,	UBE2J2
uc001adr.1	chr1	-	1179154	1199097	1180445	1188604	6	1179154,1181287,1182234,1182450,1188588,1198908,	1180730,1181368,1182373,1182553,1188629,1199097,	UBE2J2
uc001ads.1	chr1	-	1179154	1199097	1180445	1187527	8	1179154,1181287,1182234,1182450,1187511,1188588,1193104,1198908,	1180730,1181368,1182373,1182553,1187633,1188629,1193235,1199097,	UBE2J2
uc001adt.1	chr1	+	1205678	1217272	1205904	1216853	18	1205678,1206468,1206653,1207484,1209220,1210813,1211168,1212010,1212351,1212750,1212915,1213181,1215513,1215719,1215879,1216137,1216307,1216496,	1205909,1206540,1206853,1207558,1209333,1210907,1211521,1212218,1212542,1212839,1213079,1213280,1215631,1215798,1215937,1216196,1216383,1217272,	SCNN1D
uc001adu.1	chr1	+	1205678	1217272	1209267	1216853	17	1205678,1206468,1206653,1207484,1209220,1211168,1212010,1212351,1212750,1212915,1213181,1215513,1215719,1215879,1216137,1216307,1216496,	1205909,1206540,1206853,1207558,1209333,1211521,1212218,1212542,1212839,1213079,1213280,1215631,1215798,1215937,1216196,1216383,1217272,	SCNN1D
uc001adx.2	chr1	+	1207399	1217272	1212433	1216853	14	1207399,1207518,1209220,1211168,1212010,1212351,1212750,1213181,1215513,1215719,1215879,1216137,1216307,1216496,	1207430,1207558,1209333,1211521,1212218,1212542,1213079,1213280,1215631,1215798,1215937,1216196,1216383,1217272,	SCNN1D
uc001adv.1	chr1	+	1207438	1217272	1209267	1216853	14	1207438,1209220,1211168,1212010,1212351,1212750,1212915,1213181,1215513,1215719,1215879,1216137,1216307,1216496,	1207558,1209333,1211521,1212218,1212542,1212839,1213079,1213280,1215631,1215798,1215937,1216196,1216383,1217272,	SCNN1D
uc001adw.1	chr1	+	1207438	1217272	1207501	1216853	15	1207438,1209220,1210813,1211168,1212010,1212351,1212750,1212915,1213181,1215513,1215719,1215879,1216137,1216307,1216496,	1207558,1209333,1210907,1211521,1212218,1212542,1212839,1213079,1213280,1215631,1215798,1215937,1216196,1216383,1217272,	SCNN1D
uc001ady.1	chr1	-	1218806	1224198	1218806	1223862	14	1218806,1219065,1219332,1219644,1219960,1220689,1220978,1221257,1221453,1221667,1223064,1223255,1223612,1223809,	1218951,1219176,1219442,1219871,1220059,1220797,1221181,1221352,1221523,1221876,1223176,1223356,1223664,1224198,	ACAP3
uc001adz.1	chr1	-	1218806	1228524	1218806	1228503	21	1218806,1219065,1219332,1219644,1220689,1220978,1221257,1221453,1221667,1223064,1223255,1223612,1223809,1224587,1225073,1225215,1225400,1225751,1227230,1228164,1228404,	1218951,1219176,1219442,1219871,1220797,1221181,1221352,1221523,1221876,1223176,1223356,1223664,1223922,1224599,1225148,1225311,1225445,1225935,1227289,1228218,1228524,	ACAP3
uc001aea.1	chr1	-	1218806	1231172	1218806	1228503	22	1218806,1219065,1219332,1219644,1220689,1220978,1221257,1221453,1221667,1223064,1223255,1223612,1223809,1224587,1225073,1225215,1225400,1225751,1227230,1228164,1228404,1229328,	1218951,1219176,1219442,1219871,1220797,1221181,1221352,1221523,1221876,1223176,1223356,1223664,1223922,1224599,1225148,1225311,1225445,1225935,1227289,1228218,1228524,1231172,	ACAP3
uc001aeb.1	chr1	-	1218806	1233132	1218806	1233058	24	1218806,1219065,1219332,1219644,1219960,1220689,1220978,1221257,1221453,1221667,1223064,1223255,1223612,1223809,1224587,1225073,1225215,1225400,1225751,1227230,1228164,1228404,1229328,1233011,	1218951,1219176,1219442,1219871,1220059,1220797,1221181,1221352,1221523,1221876,1223176,1223356,1223664,1223922,1224599,1225148,1225311,1225445,1225935,1227289,1228218,1228524,1229386,1233132,	ACAP3
uc001aec.1	chr1	-	1223986	1234852	1224917	1228503	9	1223986,1225215,1225400,1225751,1227230,1228164,1228404,1229328,1234684,	1225148,1225311,1225445,1225935,1227289,1228218,1228524,1229386,1234852,	KIAA1716
uc001aed.1	chr1	+	1233856	1236920	1233886	1236622	8	1233856,1234157,1234328,1234696,1234923,1235876,1236151,1236572,	1233963,1234215,1234516,1234846,1235094,1235931,1236314,1236920,	PUSL1
uc009vjx.1	chr1	+	1234328	1236920	1235829	1236903	4	1234328,1234696,1235278,1236572,	1234516,1235057,1236314,1236920,	PUSL1
uc009vjy.1	chr1	-	1236827	1242693	1236827	1236827	13	1236827,1237260,1237468,1237835,1238029,1238277,1238751,1238974,1239543,1240066,1240646,1240762,1241399,	1237167,1237390,1237611,1237943,1238192,1238367,1238835,1239164,1239608,1240205,1240681,1240861,1242693,	DKFZp434A1923
uc001aee.1	chr1	-	1236827	1249909	1237101	1249851	17	1236827,1237260,1237468,1237682,1237835,1238029,1238277,1238751,1238974,1239543,1240066,1240646,1240762,1244538,1245698,1246238,1249823,	1237167,1237390,1237611,1237744,1237943,1238192,1238367,1238835,1239164,1239608,1240205,1240681,1240861,1244767,1245772,1246336,1249909,	CPSF3L
uc001aef.1	chr1	-	1236827	1249909	1237101	1247196	19	1236827,1237260,1237468,1237682,1237835,1238029,1238277,1238751,1238974,1239543,1240066,1240646,1240762,1244538,1245698,1246238,1247150,1248134,1249823,	1237167,1237390,1237611,1237744,1237943,1238192,1238367,1238835,1239164,1239608,1240205,1240681,1240861,1244767,1245772,1246336,1247227,1248530,1249909,	DKFZp434A1923
uc009vjz.1	chr1	-	1236827	1249909	1237101	1249851	17	1236827,1237260,1237468,1237682,1237835,1238029,1238277,1238751,1238974,1239543,1240066,1240646,1240762,1244538,1245698,1246238,1249823,	1237167,1237390,1237611,1237744,1237943,1238192,1238367,1238835,1239164,1239608,1240205,1240681,1240795,1244767,1245772,1246336,1249909,	CPSF3L
uc001aeg.1	chr1	-	1236827	1249909	1237101	1244595	16	1236827,1237260,1237468,1237682,1237835,1238029,1238277,1238751,1238974,1239543,1240066,1240646,1240762,1244538,1245698,1249823,	1237167,1237390,1237611,1237744,1237943,1238192,1238367,1238835,1239164,1239608,1240205,1240681,1240861,1244676,1246336,1249909,	CPSF3L
uc001aeh.1	chr1	-	1236827	1249909	1237101	1249851	15	1236827,1237260,1237468,1237682,1237835,1238029,1238277,1238751,1238974,1239543,1240066,1240646,1240762,1246238,1249823,	1237167,1237390,1237611,1237744,1237943,1238192,1238367,1238835,1239164,1239608,1240205,1240681,1240861,1246336,1249909,	CPSF3L
uc001aei.1	chr1	-	1236827	1249909	1237101	1249851	15	1236827,1237260,1237468,1237682,1237835,1238029,1238277,1238751,1238974,1239543,1240066,1240646,1240762,1248419,1249823,	1237167,1237390,1237611,1237744,1237943,1238192,1238367,1238835,1239164,1239608,1240205,1240681,1240857,1248530,1249909,	CPSF3L
uc001aej.1	chr1	-	1236827	1249909	1237101	1246282	13	1236827,1237260,1237468,1237682,1237835,1238029,1238277,1238751,1238974,1239543,1240066,1246238,1249823,	1237167,1237390,1237611,1237744,1237943,1238192,1238367,1238835,1239164,1239608,1240205,1246336,1249909,	DKFZp434A1923
uc001aek.1	chr1	-	1236827	1249909	1237101	1239157	14	1236827,1237260,1237468,1237682,1237835,1238029,1238277,1238751,1238974,1239543,1240066,1240646,1240762,1249823,	1237167,1237390,1237611,1237744,1237943,1238192,1238367,1238835,1239348,1239608,1240205,1240681,1240861,1249909,	DKFZp434A1923
uc001aem.1	chr1	-	1243921	1249909	1244097	1249851	4	1243921,1245698,1246238,1249823,	1244767,1245772,1246336,1249909,	CPSF3L
uc001ael.1	chr1	-	1243921	1249909	1244097	1244721	3	1243921,1245698,1249823,	1244767,1246336,1249909,	DKFZp434A1923
uc001aen.1	chr1	-	1243939	1249909	1246040	1249851	2	1243939,1249823,	1246336,1249909,	DKFZp434A1923
uc001aeo.1	chr1	+	1250005	1254139	1252153	1253006	3	1250005,1252078,1252483,	1250345,1252275,1254139,	GLTPD1
uc001aep.1	chr1	+	1256588	1259707	1256588	1259707	6	1256588,1256880,1257266,1258163,1258501,1258748,	1256779,1257181,1258049,1258367,1258622,1259707,	TAS1R3
uc001aeq.1	chr1	-	1260520	1265420	1261384	1265340	8	1260520,1263219,1263511,1263764,1264529,1264824,1264978,1265280,	1261758,1263426,1263679,1263896,1264682,1264892,1265055,1265420,	DVL1
uc009vka.1	chr1	-	1260520	1265420	1261384	1264927	7	1260520,1263219,1263511,1263764,1264604,1264824,1265280,	1261758,1263426,1263679,1263896,1264682,1265055,1265420,	DVL1
uc001aer.2	chr1	-	1260520	1274355	1261384	1274308	15	1260520,1263219,1263511,1263764,1264604,1264824,1264978,1265280,1265489,1265652,1266909,1267295,1267605,1267931,1274138,	1261758,1263426,1263679,1263896,1264682,1264892,1265055,1265420,1265559,1265746,1267048,1267399,1267727,1268001,1274355,	DVL1
uc001aeu.1	chr1	-	1260526	1267367	1262974	1265024	9	1260526,1263511,1263764,1264529,1264978,1265280,1265489,1265652,1266909,	1263426,1263679,1263896,1264892,1265055,1265420,1265559,1265746,1267367,	DVL1
uc001aev.1	chr1	-	1277933	1279507	1277933	1277933	4	1277933,1279090,1279272,1279435,	1278872,1279171,1279349,1279507,	UNQ662
uc001aew.1	chr1	-	1277933	1283778	1278846	1283747	10	1277933,1279090,1279272,1279435,1279596,1279924,1280486,1280692,1281923,1283698,	1278872,1279171,1279349,1279475,1279752,1280395,1280588,1280995,1281947,1283778,	MXRA8
